condition,train_lab,test_lab,official,n_common_actions,n_train_win,n_test_win,fit_predict_s
corr,JovialSwallow,InvincibleJellyfish,0.0,2,1893,2500,3.84
corr,JovialSwallow,TranquilPanther,0.0,1,1893,1844,3.86
corr,JovialSwallow,CRIM13,0.0013,2,1893,3768,2.95
corr,JovialSwallow,ElegantMink,0.0,1,1893,1893,2.93
corr,JovialSwallow,CautiousGiraffe,0.0,2,1893,3767,4.0
corr,InvincibleJellyfish,CalMS21_task1,0.0708,3,2500,4150,4.25
corr,InvincibleJellyfish,InvincibleJellyfish,0.1103,5,1750,750,4.22
corr,InvincibleJellyfish,CalMS21_task2,0.2885,2,2500,5452,4.72
corr,InvincibleJellyfish,JovialSwallow,0.0075,2,2500,1893,4.52
corr,InvincibleJellyfish,CalMS21_supplemental,0.0948,3,2500,5322,6.07
corr,InvincibleJellyfish,CRIM13,0.0667,3,2500,3768,2.9
corr,InvincibleJellyfish,TranquilPanther,0.0134,3,2500,1844,6.13
corr,TranquilPanther,CalMS21_task1,0.0,2,1844,4150,3.45
corr,InvincibleJellyfish,ElegantMink,0.0266,1,2500,1893,5.16
corr,InvincibleJellyfish,CautiousGiraffe,0.0183,3,2500,3767,4.69
corr,TranquilPanther,CalMS21_task2,0.0,1,1844,5452,3.53
corr,TranquilPanther,CalMS21_supplemental,0.0,2,1844,5322,4.23
corr,TranquilPanther,JovialSwallow,0.0,1,1844,1893,2.82
corr,TranquilPanther,InvincibleJellyfish,0.0,3,1844,2500,2.71
corr,TranquilPanther,TranquilPanther,0.0,3,1457,387,3.16
corr,TranquilPanther,CRIM13,0.0,3,1844,3768,2.72
corr,TranquilPanther,ElegantMink,0.0,1,1844,1893,2.7
corr,TranquilPanther,CautiousGiraffe,0.0,2,1844,3767,5.53
corr,CRIM13,CalMS21_task2,0.1569,3,3768,5452,8.38
corr,CRIM13,CalMS21_task1,0.0584,4,3768,4150,8.61
corr,CRIM13,CalMS21_supplemental,0.0209,4,3768,5322,8.71
corr,CRIM13,JovialSwallow,0.0507,2,3768,1893,8.46
corr,CRIM13,InvincibleJellyfish,0.017,3,3768,2500,7.85
corr,CRIM13,TranquilPanther,0.0013,3,3768,1844,6.33
corr,CRIM13,CRIM13,0.0565,7,2354,1414,5.46
corr,ElegantMink,CalMS21_task2,0.0,1,1893,5452,5.33
corr,ElegantMink,CalMS21_task1,0.0,2,1893,4150,5.74
corr,CRIM13,ElegantMink,0.0068,1,3768,1893,6.79
corr,CRIM13,CautiousGiraffe,0.0,1,3768,3767,6.47
